time,sym,price,volume
2017-04-20 16:13:21.867667,APPL,,0
2017-04-20 16:13:58.505748,APPL,,0
2017-04-20 16:14:24.637034,APPL,,0
2017-04-20 16:15:01.226135,APPL,,0
2017-04-20 16:15:27.378766,APPL,,0
2017-04-20 16:16:04.570050,APPL,,0
2017-04-20 16:16:30.383748,APPL,,0
2017-04-20 16:17:07.183339,APPL,,0
2017-04-20 16:17:33.396214,APPL,,0
2017-04-20 16:18:10.033466,APPL,,0
2017-04-20 16:18:36.746123,APPL,,0
2017-04-20 16:19:12.840079,APPL,,0
2017-04-20 16:19:40.703720,APPL,,0
2017-04-20 16:20:15.592700,APPL,,0
2017-04-20 16:21:18.451953,APPL,,0
2017-04-20 16:21:22.024760,APPL,,0
2017-04-20 16:22:21.466813,APPL,,0
2017-04-20 16:22:24.900230,APPL,,0
2017-04-20 16:23:25.680572,APPL,,0
2017-04-20 16:23:30.656424,APPL,,0
2017-04-20 16:24:28.979857,APPL,,0
2017-04-20 16:24:33.874206,APPL,,0
2017-04-20 16:25:32.337373,APPL,,0
2017-04-20 16:25:38.970810,APPL,,0
2017-04-20 16:26:36.424985,APPL,,0
2017-04-20 16:26:41.822429,APPL,,0
2017-04-20 16:27:39.150322,APPL,,0
2017-04-20 16:27:45.226154,APPL,,0
2017-04-20 16:28:41.952416,APPL,,0
2017-04-20 16:28:48.421478,APPL,,0
2017-04-20 16:29:45.092159,APPL,,0
2017-04-20 16:29:51.414230,APPL,,0
2017-04-20 16:30:47.974989,APPL,,0
2017-04-20 16:30:59.223479,APPL,,0
2017-04-20 16:31:50.705714,APPL,,0
2017-04-20 16:32:05.669292,APPL,,0
2017-04-20 16:32:54.369791,APPL,,0
2017-04-20 16:33:08.392115,APPL,,0
2017-04-20 16:33:58.800900,APPL,,0
2017-04-20 16:34:11.234549,APPL,,0
2017-04-20 16:35:02.739809,APPL,,0
2017-04-20 16:35:13.894795,APPL,,0
2017-04-20 16:36:05.278134,APPL,,0
2017-04-20 16:36:16.542671,APPL,,0
2017-04-20 16:37:08.140892,APPL,,0
2017-04-20 16:37:19.339612,APPL,,0
2017-04-20 16:38:10.879127,APPL,,0
2017-04-20 16:38:22.068557,APPL,,0
2017-04-20 16:39:13.660043,APPL,,0
2017-04-20 16:39:24.668736,APPL,,0
2017-04-20 16:40:16.595803,APPL,,0
2017-04-20 16:40:27.584836,APPL,,0
2017-04-20 16:41:19.308468,APPL,,0
2017-04-20 16:41:31.064198,APPL,,0
2017-04-20 16:42:22.080729,APPL,,0
2017-04-20 16:42:33.768543,APPL,,0
2017-04-20 16:43:24.725289,APPL,,0
2017-04-20 16:43:36.487740,APPL,,0
2017-04-20 16:44:27.406677,APPL,,0
2017-04-20 16:44:39.203103,APPL,,0
2017-04-20 16:45:30.193428,APPL,,0
2017-04-20 16:45:41.916467,APPL,,0
2017-04-20 16:46:34.009700,APPL,,0
2017-04-20 16:46:45.285109,APPL,,0
2017-04-20 16:47:36.694556,APPL,,0
2017-04-20 16:47:47.837841,APPL,,0
2017-04-20 16:48:39.362834,APPL,,0
2017-04-20 16:48:50.409343,APPL,,0
2017-04-20 16:49:42.809758,APPL,,0
2017-04-20 16:49:54.187657,APPL,,0
2017-04-20 16:50:45.459394,APPL,,0
2017-04-20 16:50:57.198348,APPL,,0
2017-04-20 16:51:48.053483,APPL,,0
2017-04-20 16:51:59.732636,APPL,,0
2017-04-20 16:52:51.355449,APPL,,0
2017-04-20 16:53:02.204193,APPL,,0
2017-04-20 16:54:02.945955,APPL,,0
2017-04-20 16:54:04.804085,APPL,,0
2017-04-20 16:55:05.652916,APPL,,0
2017-04-20 16:55:07.372760,APPL,,0
2017-04-20 16:56:08.863565,APPL,,0
2017-04-20 16:56:09.871978,APPL,,0
2017-04-20 16:57:12.646564,APPL,,0
2017-04-20 16:57:25.130989,APPL,,0
2017-04-20 16:58:15.546619,APPL,,0
2017-04-20 16:58:27.764909,APPL,,0
2017-04-20 16:59:19.020796,APPL,,0
2017-04-20 16:59:30.333641,APPL,,0
2017-04-20 17:00:21.893208,APPL,,0
2017-04-20 17:00:33.346951,APPL,,0
2017-04-20 17:01:24.770910,APPL,,0
2017-04-20 17:01:38.868037,APPL,,0
2017-04-20 17:02:27.763705,APPL,,0
2017-04-20 17:02:41.493484,APPL,,0
